"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type"
"Journal Article","Tanaka H,Shen JW,Nakanishi K,Zeng XC","Integral equation and Monte Carlo simulation studies of clusters in infinitely dilute supercritical solutions","Chem. Phys. Lett.","Chemical physics letters","1995","239","1","168-172","","田中さん業績集;NOPDF","Elsevier","1995-06-09","","0009-2614","","http://www.sciencedirect.com/science/article/pii/0009261495004162;http://dx.doi.org/10.1016/0009-2614(95)00416-2;https://www.sciencedirect.com/science/article/pii/0009261495004162;https://scholar.google.ca/scholar?cluster=495400206854796123&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0009-2614(95)00416-2","","","We present a systematic study of both the size and attractive interaction strength effects on solvent clustering in infinitely dilute supercritical solutions. Both integral equation and computer simulation methods are brought to bear. We argue that monitoring the net local solvent density change due to the presence of the solute as well as residual solute chemical potential offers a predictive way of identifying clustering or declustering in infinitely dilute supercritical solutions. Phase diagram-like figures can be obtained, wherein the ‘phase boundaries’ divide the solvent enrichment (or effective attraction) from the solvent depletion (or effective repulsion) region. In conjunction with the corresponding states analyses these diagrams can provide a useful semiquantitative means of predicting the nature of solvation in many supercritical fluid systems.","","","","",""
"Journal Article","Okabe I I,Tanaka H,Nakanishi K","Structures and phase transitions of amorphous ices","Phys. Rev. E Stat. Phys. Plasmas Fluids Relat. Interdiscip. Topics","Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics","1996","53","3","2638-2647","","田中さん業績集","","1996-03","","1063-651X","","http://dx.doi.org/10.1103/physreve.53.2638;https://www.ncbi.nlm.nih.gov/pubmed/9964551;https://link.aps.org/abstract/PRE/v53/p2638;https://scholar.google.ca/scholar?cluster=12802647725021781773&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.aps.org/pre/pdf/10.1103/PhysRevE.53.2638","10.1103/physreve.53.2638","9964551","","Molecular dynamics simulations have been carried out in order to clarify the structural and hydrogen bond network differences among high density amorphous ice (HDA), low density amorphous ice (LDA), and hexagonal ice (ice Ih). Ice Ih is transformed to HDA at 1.27 GPa and 77 K. A very long time (order of a nanosecond) to complete the transition is required. It is found that molecular motions are delocalized in the early stage and become localized in the final stage of the relaxation. LDA is obtained by heating HDA to 160 K. The second peak of the radial distribution function is more clearly separated from the first peak in LDA than in HDA. Few bifurcated hydrogen bonds are found in LDA compared with HDA, which is evidence that LDA resembles crystal ice in short range order. The network topology of the system is also analyzed in terms of the distribution of Voronoi polyhedra, where the density lies between stable HDA and LDA. Density fluctuations are found, which should be attributed to the precursor of a phase separation between HDA and LDA.","","","","en","Research Article"
"Journal Article","Tamai Y,Tanaka H,Nakanishi K","Molecular design of polymer membranes using molecular simulation technique","Fluid Phase Equilib.","Fluid phase equilibria","1995","104","","363-374","","田中さん業績集;NOPDF;TAMAI","Elsevier","1995-03-01","","0378-3812","","http://www.sciencedirect.com/science/article/pii/037838129402661J;http://dx.doi.org/10.1016/0378-3812(94)02661-J;https://www.sciencedirect.com/science/article/pii/037838129402661J;https://scholar.google.ca/scholar?cluster=6129766385494523474&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(94)02661-J","","","Diffusion processes of methane, water, and ethanol in poly(dimethylsiloxane) (PDMS) and polyethylene (PE) were investigated by molecular dynamics simulation. Pure liquid water and ethanol were also simulated. Simulations of 5 nanoseconds were performed for PDMS and PE with penetrant species, methane. The diffusion of methane in the polymer matrices exhibits anomalous (non-Einstein) behavior for time scales of 1 nanosecond. The excess chemical potentials of the penetrants in PDMS and the pure liquids were calculated by the Widom method. The excluded volume map sampling (EVMS) method and the continuum configurational bias (CCB) method were used to increase efficiency of sampling. Permeation rates, which were calculated from diffusion coefficients and solubilities, were in reasonable agreement with experiments.","computer simulation; molecular dynamics; polymers; water; liquid separation","","","",""
"Journal Article","Tanaka H","A novel approach to the stability of clathrate hydrate","Fluid Phase Equilib.","Fluid phase equilibria","1995","104","","331-340","","田中さん業績集","Elsevier","1995-03-01","","0378-3812","","http://www.sciencedirect.com/science/article/pii/037838129402658N;http://dx.doi.org/10.1016/0378-3812(94)02658-N;https://www.sciencedirect.com/science/article/pii/037838129402658N;https://scholar.google.ca/scholar?cluster=9022572514606507934&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(94)02658-N","","","The thermodynamic stability of clathrate hydrates I and II encaging Xe and Ar has been investigated by examining temperature dependence of the dissociation pressure on the basis of the generalized van der Waals and Platteeuw theory developed by Tanaka and Kiyohara, where the coupling of the host lattice vibration with the guest is taken into account in calculating the free energy of formation of hydrates. The predicted dissociation pressures of Xe and Ar hydrates agree reasonably well with experiments in higher temperature range. An agreement for Ar clathrate hydrate at low temperature is poor. This is circumvented by the use of a quantum mechanical partition function for a harmonic oscillator in evaluating the free energy difference between ice and empty hydrate.","Clathrate Hydrate; Thermodynamic Stability; Generalized vdWP Theory","","","",""
"Journal Article","Hayashi H,Tanaka H,Nakanishi K","Molecular dynamics of flexible molecules: torsional motions of n-butane and ethylene glycol","Fluid Phase Equilib.","Fluid phase equilibria","1995","104","","421-430","","田中さん業績集;NOPDF","Elsevier BV","1995-03","","0378-3812","1879-0224","https://linkinghub.elsevier.com/retrieve/pii/037838129402666O;http://dx.doi.org/10.1016/0378-3812(94)02666-o;https://scholar.google.ca/scholar?cluster=4829932000498110848&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(94)02666-o","","","Molecular dynamics simulations have been performed for liquid n-butane and ethylene glycol (1,2-ethanediol; EG) in order to understand liquid structures in terms of both inter- and intra-molecular interactions. Each n-butane molecule consists of four sites interacting with LJ potential, and with only one dihedral angle potential, while each EG molecule has six sites interacting through LJ and coulomb potentials together with three dihedral angle potentials. The flexible molecule has the tendency to be folded more intensely in the liquid state than that in the gas phase. Comparing aqueous solution of EG with Xe solution and gaseous state of EG, it is found that EG molecules more strongly favor the folded form by intramolecular interactions, especially by intramolecular hydrogen bond.","","","","en",""
"Journal Article","Tanaka H","The stability and dynamics of clathrate hydrates","J. Mol. Liq.","Journal of molecular liquids","1995","65-66","","285-288","","田中さん業績集;NOPDF","Elsevier BV","1995-11","","0167-7322","1873-3166","https://linkinghub.elsevier.com/retrieve/pii/0167732295009068;http://dx.doi.org/10.1016/0167-7322(95)00906-8;https://scholar.google.ca/scholar?cluster=14391250424194231736&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0167-7322(95)00906-8","","","The thermodynamic stability of a clathrate hydrate encaging nonspherical ethane molecule has been investigated by examining the free energy of cage occupancy. A generalized van der Waals and Platteeuw theory is extended in order to treat rotational motions of guest molecules in the clathrate hydrate cages.","","","","en",""
"Journal Article","Tanaka H","The thermodynamic stability of clathrate hydrate. Encaging non-spherical propane molecules","Chem. Phys. Lett.","Chemical physics letters","1994","220","6","371-376","","田中さん業績集","Elsevier BV","1994-08","","0009-2614","1873-4448","https://linkinghub.elsevier.com/retrieve/pii/0009261494001839;http://dx.doi.org/10.1016/0009-2614(94)00183-9;https://scholar.google.ca/scholar?cluster=8044444352507957649&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0009-2614(94)00183-9","","","The thermodynamic stability of a clathrate hydrate encaging non-spherical molecules has been investigated by examining the free energy of cage occupancy. In the present study, a generalized van der Waals and Platteeuw theory is extended to treat the rotational motion of guest molecules in clathrate hydrate cages. The vibrational free energy of both guest and host molecules is divided into harmonic and anharmonic contributions. The anharmonic free energy associated with the non-spherical nature of the guest molecules is evaluated as a perturbation from the spherical guest. Predicted thermodynamic properties are compared with measured values. It is shown that this anharmonic contribution is important in the free energy of the hindered rotation of the guests.","","","","en",""
"Journal Article","Hayashi H,Tanaka H,Nakanishi K","Molecular dynamics simulations of flexible molecules. Part 1.—Aqueous solution of ethylene glycol","J. Chem. Soc. Faraday Trans.","Journal of the Chemical Society, Faraday Transactions","1995","91","1","31-39","","田中さん業績集","The Royal Society of Chemistry","1995-01-01","","1364-5455","1364-5455","http://xlink.rsc.org/?DOI=FT9959100031;http://dx.doi.org/10.1039/FT9959100031;http://dx.doi.org/10.1039/ft9959100031;https://scholar.google.ca/scholar?cluster=14763020539904133091&hl=en&as_sdt=0,5&sciodt=0,5;https://pubs.rsc.org/en/content/articlepdf/1995/ft/ft9959100031","10.1039/FT9959100031","","","Molecular dynamics simulations have been performed for ethylene glycol (ethane-1,2-diol, EG) in water. Each EG molecule consists of six sites interacting through Lennard-Jones and coulomb potentials together with three dihedral angle potentials. A comparison of the behaviour of EG molecules in water and in Xe shows that in the latter solvent the EG molecules tend to fold, unlike those in water. In order to investigate how the intramolecular interaction affects the intermolecular hydrogen bonds, some rigid-EG models are also examined.","","","","en",""
"Journal Article","Tanaka H","The stability of Xe and CF4 clathrate hydrates. Vibrational frequency modulation and cage distortion","Chem. Phys. Lett.","Chemical physics letters","1993","202","5","345-349","","田中さん業績集","Elsevier BV","1993-01","","0009-2614","1873-4448","https://linkinghub.elsevier.com/retrieve/pii/0009261493900512;http://dx.doi.org/10.1016/0009-2614(93)90051-2;https://scholar.google.ca/scholar?cluster=1338845214790592366&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0009-2614(93)90051-2","","","The thermodynamic stability of Xe and CF4 clathrate hydrates has been investigated by evaluating various components of the free energy of formation. Host-guest coupling and lattice distortion are taken into account. It is found that the introduction of CF4 gives rise to a significant distortion of the structure, while Xe does not change the structure from the empty lattice. This distortion, as well as the modulation of the intermolecular vibrational modes of the host lattice, causes an increase in the chemical potential of water. Those contributions, neglected in the traditional theory invariably used to predict phase diagrams, are found to be important for evaluation of the thermodynamic stability of Xe and CF4 hydrates.","","","","en",""
"Journal Article","Tanaka H,Nakanishi K","Structure of aqueous solutions of amphiphilies: t-butyl alcohol and urea solutions","Fluid Phase Equilib.","Fluid phase equilibria","1993","83","","77-84","","田中さん業績集","Elsevier BV","1993-02","","0378-3812","1879-0224","https://linkinghub.elsevier.com/retrieve/pii/037838129387009P;http://dx.doi.org/10.1016/0378-3812(93)87009-p;https://scholar.google.ca/scholar?cluster=6529919499197230710&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(93)87009-p","","","Molecular dynamic simulations have been carried out for aqueous solutions of t-butylalcohol (TEA) and urea. TBA molecules associate with each other at very dilute to 8 mol% TBA concentration by the contact of hydrophobic groups. The association of TBA molecules at 17 mol% TBA solution arises from hydrogen bondings between TBA molecules as well as the association of urea molecules at 17 mol%.","","","","en",""
"Journal Article","Koh CA,Tanaka H,Walsh JM,Gubbins KE,Zollweg JA","Thermodynamic and structural properties of methanol-water mixtures: experiment, theory, and molecular simulation","Fluid Phase Equilib.","Fluid phase equilibria","1993","83","","51-58","","田中さん業績集","Elsevier BV","1993-02","","0378-3812","1879-0224","https://linkinghub.elsevier.com/retrieve/pii/037838129387006M;http://dx.doi.org/10.1016/0378-3812(93)87006-m;https://scholar.google.ca/scholar?cluster=6647736065732116186&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(93)87006-m","","","We report a combined experimental, theoretical and molecular simulation study of the thermodynamics and structure of water-methanol mixtures. FTTR spectroscopic measurements in both the fundamental and overtone regions of the O-H stretch have been made over a wide range of concentration and temperature to obtain information on the energy of hydrogen-bonding and the concentrations of monomeric OH species. Theoretical work has been based on an extension of the cluster expansion theory of Wertheim. The FTIR measurements aid in determining the necessary intermolecular force parameters. The theory is used to predict the thermodynamic properties of both pure and mixed fluids, with particular emphasis on the excess properties of the mixture. Comparisons with experiment show moderately good agreement for this complex mixture. We also report Monte Carlo simulations for this mixture, using OPLS potentials for methanol-methanol and methanol-water interactions and several different potentials for the water-water interaction. We find that the resulting excess properties are sensitive to the water-water potential chosen. The CC potential for water gives quite good agreement with the experimental data.","","","","en",""
"Journal Article","Hayashi H,Tanaka H,Nakanishi K","A Study of Conformational Equilibria in Chain Molecules. I. Liquid n-Butane","Mol. Simul.","Molecular simulation","1993","9","6","401-415","","田中さん業績集","Taylor & Francis","1993-01-01","","0892-7022","","https://doi.org/10.1080/08927029308048270;http://dx.doi.org/10.1080/08927029308048270;https://www.tandfonline.com/doi/abs/10.1080/08927029308048270;https://www.tandfonline.com/doi/pdf/10.1080/08927029308048270;https://scholar.google.ca/scholar?cluster=9045560884011479563&hl=en&as_sdt=0,5&sciodt=0,5","10.1080/08927029308048270","","","Abstract We have performed molecular dynamics simulations for liquid n-butane in order to understand liquid structures in terms of both inter- and intra-molecular interactions. Each n-butane molecule consists of four sites interacting with LJ potential and only a dihedral angle is taken into account as the internal degree of freedom. The population of gauche conformations with respect to the ideal gas state is found to increase in the liquid state. To investigate how the intermolecular interaction affects the dihedral angle distribution, we also adopt the repulsive LJ potential (RLJ) model. It is found that the nearest neighbor packing of the methyl and/or methylene groups can be approximately represented by using only the repulsive interaction. From the dihedral angle distribution, however, the rate of the shift of RLJ model to gauche is larger than that of LJ model and the attractive force also plays a significant role in the conformational equilibrium.","","","","",""
"Journal Article","Gierycz P,Tanaka H,Nakanishi K","Molecular-dynamics studies of binary mixtures of Lennard-Jones fluids with differing component sizes","Fluid Phase Equilib.","Fluid phase equilibria","1984","16","3","241-253","","田中さん業績集","Elsevier BV","1984-01","","0378-3812","1879-0224","https://linkinghub.elsevier.com/retrieve/pii/0378381284800011;http://dx.doi.org/10.1016/0378-3812(84)80001-1;https://scholar.google.ca/scholar?cluster=18120387308140224210&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(84)80001-1","","","Molecular-dynamics calculations have been carried out for six pure liquids and three binary mixtures of Lennard-Jones fluids with differing component sizes and attractive interactions. Internal energies, radial-distribution functions, velocity autocorrelation functions and self-diffusion coefficients have been calculated and are discussed together with our previous results. The three mixtures obey the Lorentz-Berthelot rules and show endothermic mixing. The excess internal energy ΔUE of mixtures with equal-sized components is symmetrical with respect to the mole fraction, but those for mixtures of different-sized components become asymmetrical. A comparison is made between the present ΔUE data and those for real mixtures.","","","","en",""
"Journal Article","Tanaka H,Nakanishi K,Nishikawa K","Clathrate-like structure of water around some nonelectrolytes in dilute solution as revealed by computer simulation and X-ray diffraction studies","Journal of Inclusion Phenomena","Journal of Inclusion Phenomena","1984","2","1-2","119-126","","田中さん業績集","Springer Nature","1984","","0167-7861","1573-1111","http://link.springer.com/10.1007/BF00663247;http://dx.doi.org/10.1007/bf00663247;https://scholar.google.ca/scholar?cluster=6511821917025277472&hl=en&as_sdt=0,5&sciodt=0,5","10.1007/bf00663247","","","An X-ray diffraction measurement has been carried out for a 3.9 mol% aqueous solution of TBA (tertiary butylalcohol) with an energy-dispersive diffractometer. Constant temperature molecular dynamics calculation has also been made for an aqueous solution model simulating the above-mentioned mixture. Both results suggest the formation of a fairly stable clathrate-like structure of water around TBA molecules.","","","","en",""
"Journal Article","Nakanishi K,Tanaka H","Molecular dynamics studies on the local composition in Lennard-Jones liquid mixtures and mixtures of nonspherical molecules","Fluid Phase Equilib.","Fluid phase equilibria","1983","13","","371-380","","田中さん業績集","Elsevier BV","1983-01","","0378-3812","1879-0224","https://linkinghub.elsevier.com/retrieve/pii/0378381283801083;http://dx.doi.org/10.1016/0378-3812(83)80108-3;https://scholar.google.ca/scholar?cluster=14374282797523316716&hl=en&as_sdt=0,5&sciodt=0,5","10.1016/0378-3812(83)80108-3","","","Molecular dynamics calculations have been carried out both for various kinds of mixtures of spherical molecules interacting pairwisely with Lennard-Jones(LJ) potential and for mixtures of diatomic molecules having two centers of LJ-type interaction. Radial distribution function(RDF) and internal energy have been calculated. The local composition(LC) around each kind of central molecule has been evaluated from RDF data. The effect of attractive interaction on LC and the validity of the Wilson and related equations for LC have been discussed.","","","","en",""
"Journal Article","Tanaka H","Fluctuation of Local Order and Connectivity of Water Molecules in Two Phases of Supercooled Water","Phys. Rev. Lett.","Physical review letters","1998","80","1","113-116","","田中さん業績集","American Physical Society","1998-01-05","","0031-9007","","https://link.aps.org/doi/10.1103/PhysRevLett.80.113;http://dx.doi.org/10.1103/PhysRevLett.80.113;https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.113;https://scholar.google.ca/scholar?cluster=2957240780900878079&hl=en&as_sdt=0,5&sciodt=0,5;https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.80.113","10.1103/PhysRevLett.80.113","","","We investigate the fluctuations of coordination numbers and the spatial correlations of imperfectly coordinated water molecules in two phases of supercooled water. It is found, although the average coordination numbers are 4 in local energy minimum structures of …","","","","",""
"Miscellaneous","Tanaka H,Koga K","Phase Equilibria and Transitions of Confined Systems in Hydrophobic and Aqueous Environments","Water in Confining Geometries","","2003","","","151-177","","田中さん業績集","","2003","","","","http://dx.doi.org/10.1007/978-3-662-05231-0_8","10.1007/978-3-662-05231-0_8","","","","","","","",""
"Journal Article","Tanaka H,Okabe I","Thermodynamic stability of hexagonal and cubic ices","Chem. Phys. Lett.","Chemical physics letters","1996","259","5","593-598","","田中さん業績集","Elsevier","1996-09-13","","0009-2614","","https://www.sciencedirect.com/science/article/pii/000926149600824X;https://scholar.google.ca/scholar?cluster=5067450020096379428&hl=en&as_sdt=0,5&sciodt=0,5;http://www.sciencedirect.com/science/article/pii/000926149600824X;http://dx.doi.org/10.1016/0009-2614(96)00824-X","10.1016/0009-2614(96)00824-X","","","The thermodynamic stability of hexagonal and cubic ices are examined by evaluating the free energies of those two phases over a wide range of temperature. One hundred proton-disordered configurations are generated for each form of ice, and a lattice dynamics calculation is applied. It is shown that the free energy of hexagonal ice is about 100 J mol−1 lower than that of cubic ice, and therefore more stable in the calculated temperature range (53–273 K). This is an agreement with experiment.","","","","",""
"Journal Article","Tanaka H","A molecular dynamics study of the connectivity of water molecules in supercooled states","Phys. Chem. Chem. Phys.","Physical chemistry chemical physics: PCCP","2000","2","8","1595-1598","","田中さん業績集","The Royal Society of Chemistry","2000-01-01","2020-09-10","1463-9076","1463-9084","https://pubs.rsc.org/no/content/articlehtml/2000/cp/a908302b;https://scholar.google.ca/scholar?cluster=6599725161176753633&hl=en&as_sdt=0,5&sciodt=0,5;http://xlink.rsc.org/?DOI=a908302b;http://dx.doi.org/10.1039/A908302B;http://pubs.rsc.org/en/content/articlepdf/2000/CP/A908302B;http://dx.doi.org/10.1039/a908302b","10.1039/A908302B","","","We examined the distributions of four-coordinated supercooled water molecules in two state points where the densities differ considerably. It is found that although the coordination numbers are all four in local energy minimum structures free from thermal excitation, the magnitude of the connectivity of tetrahedrally coordinated molecules differs significantly between two supercooled states. We also investigated the thermodynamic properties of liquids composed of two kinds of deformed water molecules having wider bond angles in order to compare the properties of these liquids with those of a realistic water model.","","","","en",""
"Journal Article","Koyama Y,Tanaka H,Gao G,Zeng XC","Melting points and thermal expansivities of proton-disordered hexagonal ice with several model potentials","J. Chem. Phys.","The Journal of chemical physics","2004","121","16","7926-7931","","田中さん業績集","","2004-10-22","","0021-9606","","http://dx.doi.org/10.1063/1.1801272;https://www.ncbi.nlm.nih.gov/pubmed/15485255;https://doi.org/10.1063/1.1801272;https://scholar.google.ca/scholar?cluster=16097095160800835866&hl=en&as_sdt=0,5&sciodt=0,5;https://aip.scitation.org/doi/abs/10.1063/1.1801272;https://aip.scitation.org/doi/pdf/10.1063/1.1801272;https://aip.scitation.org/doi/pdf/10.1063/1.1801272?t=","10.1063/1.1801272","15485255","","A method of free energy calculation is proposed, which enables to cover a wide range of pressure and temperature. The free energies of proton-disordered hexagonal ice (ice Ih) and liquid water are calculated for the TIP4P [J. Chem. Phys. 79, 926 (1983)] model and the TIP5P [J. Chem. Phys. 112, 8910 (2000)] model. From the calculated free energy curves, we determine the melting point of the proton-disordered hexagonal ice at 0.1 MPa (atmospheric pressure), 50 MPa, 100 MPa, and 200 MPa. The melting temperatures at atmospheric pressure for the TIP4P ice and the TIP5P ice are found to be about T(m)=229 K and T(m)=268 K, respectively. The melting temperatures decrease as the pressure is increased, a feature consistent with the pressure dependence of the melting point for realistic proton-disordered hexagonal ice. We also calculate the thermal expansivity of the model ices. Negative thermal expansivity is observed at the low temperature region for the TIP4P ice, but not for the TIP5P ice at the ambient pressure.","","","Department of Chemistry, Faculty of Science, Okayama University, 3-1-1 Tsushima, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Tanaka H,Koga K","Formation of ice nanotube with hydrophobic guests inside carbon nanotube","J. Chem. Phys.","The Journal of chemical physics","2005","123","9","94706","","田中さん業績集","","2005-09-01","","0021-9606","","http://dx.doi.org/10.1063/1.2031127;https://www.ncbi.nlm.nih.gov/pubmed/16164361;https://doi.org/10.1063/1.2031127;https://scholar.google.ca/scholar?cluster=12339016931063054234&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.2031127","16164361","","A composite ice nanotube inside a carbon nanotube has been explored by molecular-dynamics and grand canonical Monte Carlo simulations. It is made from an octagonal ice nanotube whose hollow space contains hydrophobic guest molecules such as neon, argon, and methane. It is shown that the attractive interaction of the guest molecules stabilizes the ice nanotube. The guest occupancy of the hollow space is calculated by the same method as applied to clathrate hydrates.","","","Department of Chemistry, Faculty of Science, Okayama University, 3-1-1 Tsushima, Okayama 700-8530, Japan. htanakaa@cc.okayama-u.ac.jp","en","Research Article"
"Journal Article","Takii Y,Koga K,Tanaka H","A plastic phase of water from computer simulation","J. Chem. Phys.","The Journal of chemical physics","2008","128","20","204501","","田中さん業績集","","2008-05-28","","0021-9606","1089-7690","http://dx.doi.org/10.1063/1.2927255;https://www.ncbi.nlm.nih.gov/pubmed/18513026;https://doi.org/10.1063/1.2927255;https://scholar.google.ca/scholar?cluster=155532214306289392&hl=en&as_sdt=0,5&sciodt=0,5;https://dx.doi.org/10.1063/1.2927255","10.1063/1.2927255","18513026","","We report a member of ices called plastic or rotator phase, in which individual water molecules make facile rotations as in liquid state but are held tightly in an ordered structure. Molecular dynamics simulations of three classical models of water show that a plastic ice phase appears at a temperature when ice VII is heated or liquid water is cooled at high pressures above several gigapascals. A large amount of latent heat is absorbed when ice VII is transformed to the rotator phase at 590 K and 10 GPa, which is a typical characteristic of the plastic transitions for nearly spherical molecules. In addition to the spontaneous formation of plastic phase in the simulations, its existence is supported by robustness of plastic phase for hypothetical water with varying degrees of Coulombic interactions.","","","Department of Chemistry, Okayama University, 3-1-1 Tsushima-naka, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Gao GT,Zeng XC,Tanaka H","The melting temperature of proton-disordered hexagonal ice: A computer simulation of 4-site transferable intermolecular potential model of water","The Journal of Chemical Physics","The Journal of chemical physics","2000","112","19","8534-8538","","田中さん業績集","aip.scitation.org","2000","","0021-9606","","https://aip.scitation.org/doi/abs/10.1063/1.481457;https://scholar.google.ca/scholar?cluster=7965187135953695918&hl=en&as_sdt=0,5&sciodt=0,5;http://dx.doi.org/10.1063/1.481457","10.1063/1.481457","","","We report computer simulation results of free energies of proton-disordered hexagonal ice and liquid water at atmospheric pressure with the 4-site transferable intermolecular potential model of water. A new reference system is used to calculate the free energy of the ice phase …","","","","",""
"Journal Article","Tanaka H,Kiyohara K","On the thermodynamic stability of clathrate hydrate. I","The Journal of Chemical Physics","The Journal of chemical physics","1993","98","5","4098-4109","","田中さん業績集","aip.scitation.org","1993","","0021-9606","","https://aip.scitation.org/doi/abs/10.1063/1.465045;https://scholar.google.ca/scholar?cluster=1400654817698603497&hl=en&as_sdt=0,5&sciodt=0,5;http://dx.doi.org/10.1063/1.465045","10.1063/1.465045","","","The thermodynamic stability of a clathrate hydrate has been investigated by examining the free energy of formation of clathrate hydrate II encaging propane. The total free energy has been divided into several contributions—the interaction between water and guest propane …","","","","",""
"Journal Article","Koga K,Zeng XC,Tanaka H","Freezing of confined water: A bilayer ice phase in hydrophobic nanopores","Phys. Rev. Lett.","Physical review letters","1997","79","26","5262-5265","","田中さん業績集","American Physical Society","1997-12-29","","0031-9007","","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.79.5262;https://scholar.google.ca/scholar?cluster=5642074027742495099&hl=en&as_sdt=0,5&sciodt=0,5;https://link.aps.org/doi/10.1103/PhysRevLett.79.5262;http://dx.doi.org/10.1103/PhysRevLett.79.5262;https://link.aps.org/pdf/10.1103/PhysRevLett.79.5262","10.1103/PhysRevLett.79.5262","","","Molecular dynamics simulations were performed to study the phase behavior of a thin film of water confined to a slit nanopore with smooth walls. A first-order water-to-ice freezing transition has been observed. The resulting ice, which is a crystal of bilayer consisting of …","","","","",""
"Journal Article","Tanaka H,Walsh J,Gubbins KE","Structure of water-methanol binary mixtures: role of the water-water interaction","Mol. Phys.","Molecular physics","1992","76","5","1221-1233","","田中さん業績集","Taylor & Francis","1992-08-10","","0026-8976","1362-3028","https://doi.org/10.1080/00268979200102001;http://dx.doi.org/10.1080/00268979200102001;http://www.tandfonline.com/doi/abs/10.1080/00268979200102001;https://scholar.google.ca/scholar?cluster=104470155236368337&hl=en&as_sdt=0,5&sciodt=0,5;https://www.tandfonline.com/doi/pdf/10.1080/00268979200102001?t=","10.1080/00268979200102001","","","The structure of water-methanol mixtures at 298·15 K and 1 bar is investigated by means of the extended RISM equation with an HNC-like closure. Radial distribution functions between interaction sites are obtained for the mixture at room temperature and pressure. The OPLS model is used for the methanol-methanol interaction; both the MCY and TIPS potentials are used for the water-water interaction. An association of hydrophobic groups in methanol can be observed in water-rich mixtures. The association of hydrophobic groups is of the solvent-separated type for the MCY water potential, while the direct contact of hydrophobic groups is favourable for the TIPS water. The qualitative difference in the character of association is examined in terms of the differences in the water-water interaction. It is found that the difference in the characteristics of the association arises mainly from the short-range repulsion between oxygen atoms rather than the difference in the Coulombic interaction.","","","","",""
"Journal Article","Tanaka H","Potential Surface Analysis and Low Temperature Dynamics of Water","Mol. Simul.","Molecular simulation","1996","16","1-3","87-97","","田中さん業績集","Taylor & Francis","1996-01-01","","0892-7022","","https://doi.org/10.1080/08927029608024063;http://dx.doi.org/10.1080/08927029608024063;https://www.tandfonline.com/doi/abs/10.1080/08927029608024063;https://scholar.google.ca/scholar?cluster=5504514193170541666&hl=en&as_sdt=0,5&sciodt=0,5;https://www.tandfonline.com/doi/pdf/10.1080/08927029608024063?t=","10.1080/08927029608024063","","","Abstract Collective motions in liquid water are investigated by examining potential surfaces of an assembly of water molecules in its liquid state. It is found that coarse-graining of the quenched structures and low temperature dynamics provide information on their hierarchal structures. The distribution of the potential energy minimum structures in configuration space is examined is detail and is compared with those of methanol. The strong and fragile nature of liquid water is discussed.","","","","",""
"Journal Article","Tanaka H,Nakanishi K","Hydrophobic hydration of inert gases: Thermodynamic properties, inherent structures, and normal‐mode analysis","J. Chem. Phys.","The Journal of chemical physics","1991","95","5","3719-3727","","田中さん業績集","American Institute of Physics","1991-09-01","","0021-9606","1089-7690","https://doi.org/10.1063/1.460822;http://dx.doi.org/10.1063/1.460822;http://aip.scitation.org/doi/10.1063/1.460822;https://scholar.google.ca/scholar?cluster=3075592906771950540&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.460822","","","Computer simulations on water and aqueous solutions of noble gases have been carried out in order to study the structures of water around a solute. The hydration energy and free energy evaluated for neon (Ne) and xenon (Xe) solutions in the present study were in good agreement with those by experiments. The detailed hydration structures were investigated by means of the so called inherent structures and normal?mode analyses. It was found that the positive excess free energy in the hydration of Xe arises from a decrease in the number of distinct potential?energy minima in configuration space and that the free energy increase in the Ne solution is due partly to the decrease in the number of the potential minima and partly to the anharmonic modes which are harder than those in pure water. The soft anharmonic modes in the Xe solution were almost equivalent to those in pure water. The introduction of a Xe solute gives rise to a change in water structure to a clathrate?like structure and yields an increase in population of the cyclic pentamer connected by hydrogen bonds, which leads to the exothermic hydration.","","","","",""
